Language_Code,Language_Name,Favorable_View,Mean_Sentiment,Median_Sentiment,Standard_Deviation
pl,Polish,86,0.325,0.309,0.068
ko,Korean,77,0.32,0.31,0.055
th,Thai,77,0.289,0.274,0.05
he,Hebrew,77,0.334,0.325,0.06
tl,Filipino,74,0.331,0.3,0.084
ja,Japanese,70,0.329,0.322,0.057
si,Sinhala,57,0.429,0.427,0.026
it,Italian,56,0.335,0.322,0.07
hu,Hungarian,52,0.324,0.31,0.068
bn,Bengali,52,0.315,0.311,0.035
hi,Hindi,51,0.301,0.298,0.019
de,German,49,0.343,0.325,0.081
nl,Dutch,48,0.338,0.321,0.078
el,Greek,48,0.322,0.307,0.059
sv,Swedish,47,0.319,0.309,0.055
ms,Malay,35,0.331,0.316,0.071
tr,Turkish,18,0.311,0.3,0.048
