Language_Code,Language_Name,Favorable_View,Mean_Sentiment,Median_Sentiment,Standard_Deviation
pl,Polish,86,0.688,0.686,0.126
ko,Korean,77,0.518,0.499,0.07
th,Thai,77,0.613,0.605,0.065
he,Hebrew,77,0.517,0.493,0.095
tl,Filipino,74,0.475,0.467,0.039
ja,Japanese,70,0.554,0.526,0.103
si,Sinhala,57,0.576,0.575,0.024
it,Italian,56,0.716,0.734,0.152
hu,Hungarian,52,0.672,0.671,0.12
bn,Bengali,52,0.569,0.565,0.042
hi,Hindi,51,0.584,0.58,0.032
de,German,49,0.668,0.658,0.114
nl,Dutch,48,0.632,0.619,0.114
el,Greek,48,0.575,0.564,0.086
sv,Swedish,47,0.652,0.646,0.128
ms,Malay,35,0.614,0.595,0.128
tr,Turkish,18,0.665,0.662,0.085
