Article_Title,Language,Mean_Sentiment_Score,Median_Sentiment_Score,Standard_Deviation
Joe Biden,en,0.364,0.344,0.095
Joe Biden,pl,0.341,0.324,0.092
Joe Biden,it,0.345,0.317,0.097
Joe Biden,hu,0.354,0.335,0.099
Joe Biden,de,0.386,0.352,0.117
Joe Biden,nl,0.337,0.315,0.086
Joe Biden,el,0.325,0.311,0.065
Joe Biden,sv,0.318,0.316,0.051
Joe Biden,ko,0.28,0.276,0.029
Joe Biden,th,0.315,0.282,0.082
Joe Biden,tl,0.288,0.275,0.048
Joe Biden,ja,0.32,0.305,0.065
Joe Biden,si,0.376,0.376,0.106
Joe Biden,bn,0.323,0.315,0.055
Joe Biden,hi,0.314,0.316,0.053
Joe Biden,ms,0.346,0.335,0.073
Joe Biden,he,0.337,0.329,0.064
Joe Biden,tr,0.332,0.324,0.074
Donald Trump,en,0.477,0.465,0.153
Donald Trump,pl,0.375,0.343,0.12
Donald Trump,it,0.389,0.356,0.124
Donald Trump,hu,0.421,0.38,0.137
Donald Trump,de,0.419,0.385,0.137
Donald Trump,nl,0.455,0.446,0.14
Donald Trump,el,0.342,0.332,0.085
Donald Trump,sv,0.35,0.323,0.098
Donald Trump,ko,0.332,0.306,0.076
Donald Trump,th,0.314,0.294,0.07
Donald Trump,tl,0.362,0.381,0.061
Donald Trump,ja,0.36,0.343,0.097
Donald Trump,si,0.379,0.364,0.081
Donald Trump,bn,0.335,0.322,0.062
Donald Trump,hi,0.35,0.318,0.087
Donald Trump,ms,0.351,0.323,0.107
Donald Trump,he,0.364,0.348,0.092
Donald Trump,tr,0.415,0.378,0.138
Barack Obama,en,0.348,0.331,0.089
Barack Obama,pl,0.338,0.327,0.093
Barack Obama,it,0.331,0.305,0.093
Barack Obama,hu,0.334,0.306,0.089
Barack Obama,de,0.382,0.351,0.119
Barack Obama,nl,0.347,0.313,0.101
Barack Obama,el,0.322,0.299,0.067
Barack Obama,sv,0.327,0.293,0.092
Barack Obama,ko,0.331,0.317,0.061
Barack Obama,th,0.309,0.272,0.091
Barack Obama,tl,0.291,0.269,0.059
Barack Obama,ja,0.327,0.315,0.056
Barack Obama,si,0.415,0.417,0.083
Barack Obama,bn,0.32,0.314,0.057
Barack Obama,hi,0.327,0.3,0.057
Barack Obama,ms,0.327,0.305,0.076
Barack Obama,he,0.332,0.321,0.061
Barack Obama,tr,0.323,0.309,0.067
George W. Bush,en,0.368,0.344,0.106
George W. Bush,pl,0.349,0.326,0.079
George W. Bush,it,0.34,0.329,0.078
George W. Bush,hu,0.365,0.317,0.149
George W. Bush,de,0.361,0.345,0.095
George W. Bush,nl,0.366,0.345,0.103
George W. Bush,el,0.3,0.292,0.035
George W. Bush,sv,0.323,0.313,0.064
George W. Bush,ko,0.308,0.296,0.059
George W. Bush,th,0.311,0.296,0.065
George W. Bush,tl,0.327,0.34,0.033
George W. Bush,ja,0.328,0.303,0.086
George W. Bush,si,0.429,0.429,0.0
George W. Bush,bn,0.333,0.319,0.075
George W. Bush,hi,0.336,0.336,0.065
George W. Bush,ms,0.35,0.339,0.081
George W. Bush,he,0.354,0.342,0.087
George W. Bush,tr,0.371,0.339,0.108
Bill Clinton,en,0.36,0.338,0.094
Bill Clinton,pl,0.32,0.31,0.061
Bill Clinton,it,0.344,0.329,0.085
Bill Clinton,hu,0.34,0.327,0.063
Bill Clinton,de,0.336,0.316,0.092
Bill Clinton,nl,0.361,0.353,0.106
Bill Clinton,el,0.313,0.307,0.048
Bill Clinton,sv,0.302,0.308,0.036
Bill Clinton,ko,0.325,0.312,0.064
Bill Clinton,th,0.278,0.269,0.06
Bill Clinton,tl,0.351,0.296,0.129
Bill Clinton,ja,0.356,0.364,0.081
Bill Clinton,si,0.362,0.351,0.035
Bill Clinton,bn,0.322,0.307,0.03
Bill Clinton,hi,0.314,0.314,0.031
Bill Clinton,ms,0.339,0.335,0.063
Bill Clinton,he,0.332,0.319,0.065
Bill Clinton,tr,0.355,0.331,0.081
George H. W. Bush,en,0.336,0.316,0.086
George H. W. Bush,pl,0.339,0.315,0.092
George H. W. Bush,it,0.318,0.295,0.084
George H. W. Bush,hu,0.32,0.298,0.059
George H. W. Bush,de,0.326,0.305,0.074
George H. W. Bush,nl,0.329,0.31,0.091
George H. W. Bush,el,0.314,0.298,0.084
George H. W. Bush,sv,0.306,0.296,0.054
George H. W. Bush,ko,0.341,0.336,0.069
George H. W. Bush,th,0.279,0.27,0.049
George H. W. Bush,tl,0.273,0.273,0.0
George H. W. Bush,ja,0.335,0.33,0.064
George H. W. Bush,si,0.383,0.383,0.046
George H. W. Bush,bn,0.34,0.327,0.054
George H. W. Bush,hi,0.313,0.313,0.041
George H. W. Bush,ms,0.32,0.327,0.072
George H. W. Bush,he,0.333,0.324,0.059
George H. W. Bush,tr,0.329,0.304,0.075
Ronald Reagan,en,0.349,0.326,0.093
Ronald Reagan,pl,0.334,0.307,0.093
Ronald Reagan,it,0.35,0.336,0.098
Ronald Reagan,hu,0.321,0.316,0.057
Ronald Reagan,de,0.348,0.332,0.101
Ronald Reagan,nl,0.351,0.319,0.11
Ronald Reagan,el,0.292,0.28,0.056
Ronald Reagan,sv,0.338,0.331,0.072
Ronald Reagan,ko,0.303,0.3,0.033
Ronald Reagan,th,0.255,0.257,0.007
Ronald Reagan,tl,0.351,0.296,0.129
Ronald Reagan,ja,0.317,0.302,0.056
Ronald Reagan,si,0.334,0.324,0.06
Ronald Reagan,bn,0.337,0.294,0.08
Ronald Reagan,hi,0.301,0.301,0.0
Ronald Reagan,ms,0.343,0.313,0.087
Ronald Reagan,he,0.329,0.32,0.055
Ronald Reagan,tr,0.338,0.3,0.09
Jimmy Carter,en,0.349,0.331,0.092
Jimmy Carter,pl,0.332,0.325,0.057
Jimmy Carter,it,0.373,0.369,0.098
Jimmy Carter,hu,0.32,0.297,0.062
Jimmy Carter,de,0.341,0.327,0.083
Jimmy Carter,nl,0.338,0.317,0.07
Jimmy Carter,el,0.324,0.313,0.071
Jimmy Carter,sv,0.315,0.333,0.051
Jimmy Carter,ko,0.315,0.314,0.047
Jimmy Carter,th,0.297,0.26,0.066
Jimmy Carter,tl,0.351,0.296,0.129
Jimmy Carter,ja,0.325,0.314,0.065
Jimmy Carter,si,,,
Jimmy Carter,bn,0.302,0.302,0.034
Jimmy Carter,hi,0.332,0.322,0.059
Jimmy Carter,ms,0.379,0.379,0.069
Jimmy Carter,he,0.336,0.329,0.057
Jimmy Carter,tr,0.367,0.372,0.062
Gerald Ford,en,0.369,0.351,0.1
Gerald Ford,pl,0.354,0.326,0.094
Gerald Ford,it,0.328,0.323,0.068
Gerald Ford,hu,0.371,0.341,0.092
Gerald Ford,de,0.341,0.33,0.068
Gerald Ford,nl,0.326,0.309,0.058
Gerald Ford,el,0.297,0.286,0.048
Gerald Ford,sv,0.328,0.34,0.051
Gerald Ford,ko,0.333,0.329,0.055
Gerald Ford,th,0.295,0.279,0.069
Gerald Ford,tl,0.351,0.296,0.129
Gerald Ford,ja,0.324,0.328,0.043
Gerald Ford,si,0.477,0.477,0.0
Gerald Ford,bn,0.383,0.383,0.103
Gerald Ford,hi,0.29,0.29,0.0
Gerald Ford,ms,0.315,0.299,0.049
Gerald Ford,he,0.325,0.318,0.055
Gerald Ford,tr,0.321,0.303,0.05
Richard Nixon,en,0.347,0.329,0.085
Richard Nixon,pl,0.354,0.33,0.094
Richard Nixon,it,0.353,0.331,0.084
Richard Nixon,hu,0.305,0.31,0.053
Richard Nixon,de,0.329,0.312,0.078
Richard Nixon,nl,0.334,0.322,0.059
Richard Nixon,el,0.317,0.321,0.058
Richard Nixon,sv,0.316,0.309,0.053
Richard Nixon,ko,0.306,0.284,0.059
Richard Nixon,th,0.295,0.268,0.071
Richard Nixon,tl,0.295,0.292,0.027
Richard Nixon,ja,0.344,0.339,0.062
Richard Nixon,si,,,
Richard Nixon,bn,0.339,0.339,0.055
Richard Nixon,hi,0.291,0.291,0.0
Richard Nixon,ms,0.345,0.333,0.075
Richard Nixon,he,0.341,0.326,0.068
Richard Nixon,tr,0.347,0.316,0.09
Lyndon B. Johnson,en,0.361,0.353,0.086
Lyndon B. Johnson,pl,0.321,0.312,0.079
Lyndon B. Johnson,it,0.354,0.346,0.08
Lyndon B. Johnson,hu,0.315,0.314,0.048
Lyndon B. Johnson,de,0.337,0.323,0.079
Lyndon B. Johnson,nl,0.306,0.277,0.065
Lyndon B. Johnson,el,0.38,0.288,0.151
Lyndon B. Johnson,sv,0.303,0.307,0.042
Lyndon B. Johnson,ko,0.329,0.33,0.051
Lyndon B. Johnson,th,0.28,0.245,0.064
Lyndon B. Johnson,tl,0.351,0.296,0.129
Lyndon B. Johnson,ja,0.328,0.326,0.06
Lyndon B. Johnson,si,,,
Lyndon B. Johnson,bn,0.234,0.234,0.0
Lyndon B. Johnson,hi,0.253,0.253,0.008
Lyndon B. Johnson,ms,0.308,0.28,0.067
Lyndon B. Johnson,he,0.332,0.326,0.056
Lyndon B. Johnson,tr,0.327,0.302,0.057
John F. Kennedy,en,0.345,0.329,0.086
John F. Kennedy,pl,0.326,0.312,0.063
John F. Kennedy,it,0.348,0.351,0.072
John F. Kennedy,hu,0.331,0.316,0.074
John F. Kennedy,de,0.33,0.313,0.069
John F. Kennedy,nl,0.33,0.313,0.092
John F. Kennedy,el,0.325,0.307,0.06
John F. Kennedy,sv,0.295,0.278,0.056
John F. Kennedy,ko,0.313,0.305,0.052
John F. Kennedy,th,0.312,0.282,0.103
John F. Kennedy,tl,0.335,0.321,0.059
John F. Kennedy,ja,0.335,0.326,0.066
John F. Kennedy,si,0.334,0.334,0.02
John F. Kennedy,bn,0.329,0.322,0.045
John F. Kennedy,hi,0.322,0.289,0.07
John F. Kennedy,ms,0.329,0.294,0.14
John F. Kennedy,he,0.337,0.322,0.073
John F. Kennedy,tr,0.312,0.312,0.059
Dwight D. Eisenhower,en,0.343,0.328,0.079
Dwight D. Eisenhower,pl,0.32,0.301,0.088
Dwight D. Eisenhower,it,0.332,0.333,0.057
Dwight D. Eisenhower,hu,0.318,0.336,0.04
Dwight D. Eisenhower,de,0.319,0.303,0.062
Dwight D. Eisenhower,nl,0.306,0.286,0.062
Dwight D. Eisenhower,el,0.358,0.34,0.076
Dwight D. Eisenhower,sv,0.305,0.308,0.031
Dwight D. Eisenhower,ko,0.331,0.327,0.057
Dwight D. Eisenhower,th,0.262,0.27,0.029
Dwight D. Eisenhower,tl,0.309,0.303,0.017
Dwight D. Eisenhower,ja,0.322,0.328,0.05
Dwight D. Eisenhower,si,0.485,0.485,0.0
Dwight D. Eisenhower,bn,0.275,0.275,0.031
Dwight D. Eisenhower,hi,0.294,0.298,0.017
Dwight D. Eisenhower,ms,0.343,0.315,0.098
Dwight D. Eisenhower,he,0.324,0.318,0.054
Dwight D. Eisenhower,tr,0.31,0.287,0.067
Harry S. Truman,en,0.353,0.325,0.098
Harry S. Truman,pl,0.315,0.301,0.066
Harry S. Truman,it,0.327,0.302,0.086
Harry S. Truman,hu,0.35,0.336,0.091
Harry S. Truman,de,0.332,0.316,0.075
Harry S. Truman,nl,0.335,0.315,0.091
Harry S. Truman,el,0.364,0.338,0.089
Harry S. Truman,sv,0.323,0.312,0.07
Harry S. Truman,ko,0.313,0.306,0.051
Harry S. Truman,th,0.285,0.266,0.054
Harry S. Truman,tl,0.343,0.343,0.009
Harry S. Truman,ja,0.305,0.299,0.041
Harry S. Truman,si,0.485,0.485,0.0
Harry S. Truman,bn,0.251,0.251,0.0
Harry S. Truman,hi,0.321,0.308,0.061
Harry S. Truman,ms,0.365,0.297,0.142
Harry S. Truman,he,0.323,0.313,0.056
Harry S. Truman,tr,0.357,0.341,0.119
Franklin D. Roosevelt,en,0.349,0.33,0.084
Franklin D. Roosevelt,pl,0.331,0.305,0.084
Franklin D. Roosevelt,it,0.343,0.326,0.079
Franklin D. Roosevelt,hu,0.324,0.3,0.08
Franklin D. Roosevelt,de,0.348,0.33,0.089
Franklin D. Roosevelt,nl,0.309,0.297,0.058
Franklin D. Roosevelt,el,0.311,0.291,0.051
Franklin D. Roosevelt,sv,0.349,0.324,0.126
Franklin D. Roosevelt,ko,0.33,0.323,0.068
Franklin D. Roosevelt,th,0.3,0.273,0.061
Franklin D. Roosevelt,tl,0.294,0.256,0.062
Franklin D. Roosevelt,ja,0.312,0.302,0.053
Franklin D. Roosevelt,si,0.307,0.304,0.009
Franklin D. Roosevelt,bn,0.346,0.335,0.052
Franklin D. Roosevelt,hi,0.323,0.308,0.065
Franklin D. Roosevelt,ms,0.335,0.314,0.105
Franklin D. Roosevelt,he,0.344,0.327,0.072
Franklin D. Roosevelt,tr,0.329,0.316,0.074
Herbert Hoover,en,0.349,0.334,0.087
Herbert Hoover,pl,0.337,0.317,0.104
Herbert Hoover,it,0.306,0.301,0.043
Herbert Hoover,hu,0.287,0.298,0.032
Herbert Hoover,de,0.355,0.333,0.099
Herbert Hoover,nl,0.344,0.335,0.08
Herbert Hoover,el,0.312,0.304,0.043
Herbert Hoover,sv,0.309,0.282,0.066
Herbert Hoover,ko,0.33,0.319,0.06
Herbert Hoover,th,0.257,0.255,0.019
Herbert Hoover,tl,0.351,0.296,0.129
Herbert Hoover,ja,0.31,0.323,0.05
Herbert Hoover,si,0.477,0.477,0.0
Herbert Hoover,bn,0.335,0.335,0.098
Herbert Hoover,hi,0.279,0.279,0.0
Herbert Hoover,ms,0.25,0.25,0.02
