Article_Title,Language,Mean_Sentiment_Score,Median_Sentiment_Score,Standard_Deviation
Joe Biden,en,0.593,0.568,0.129
Joe Biden,pl,0.738,0.762,0.113
Joe Biden,it,0.671,0.698,0.154
Joe Biden,hu,0.683,0.689,0.122
Joe Biden,de,0.686,0.666,0.121
Joe Biden,nl,0.657,0.658,0.098
Joe Biden,el,0.542,0.529,0.073
Joe Biden,sv,0.651,0.637,0.126
Joe Biden,ko,0.537,0.51,0.096
Joe Biden,th,0.546,0.547,0.071
Joe Biden,tl,0.676,0.664,0.062
Joe Biden,ja,0.527,0.507,0.08
Joe Biden,si,0.649,0.649,0.149
Joe Biden,bn,0.472,0.461,0.041
Joe Biden,hi,0.543,0.548,0.066
Joe Biden,ms,0.561,0.52,0.135
Joe Biden,he,0.511,0.498,0.076
Joe Biden,tr,0.579,0.56,0.112
Donald Trump,en,0.672,0.682,0.134
Donald Trump,pl,0.72,0.741,0.113
Donald Trump,it,0.711,0.726,0.157
Donald Trump,hu,0.618,0.597,0.116
Donald Trump,de,0.652,0.643,0.111
Donald Trump,nl,0.629,0.616,0.112
Donald Trump,el,0.562,0.564,0.07
Donald Trump,sv,0.659,0.654,0.119
Donald Trump,ko,0.539,0.519,0.071
Donald Trump,th,0.591,0.562,0.104
Donald Trump,tl,0.527,0.472,0.105
Donald Trump,ja,0.548,0.528,0.103
Donald Trump,si,0.541,0.533,0.079
Donald Trump,bn,0.486,0.482,0.059
Donald Trump,hi,0.533,0.527,0.086
Donald Trump,ms,0.595,0.565,0.128
Donald Trump,he,0.541,0.529,0.083
Donald Trump,tr,0.642,0.635,0.121
Barack Obama,en,0.596,0.569,0.122
Barack Obama,pl,0.701,0.695,0.122
Barack Obama,it,0.656,0.63,0.146
Barack Obama,hu,0.678,0.68,0.135
Barack Obama,de,0.67,0.65,0.128
Barack Obama,nl,0.669,0.661,0.126
Barack Obama,el,0.595,0.582,0.074
Barack Obama,sv,0.665,0.664,0.123
Barack Obama,ko,0.534,0.533,0.081
Barack Obama,th,0.577,0.558,0.089
Barack Obama,tl,0.52,0.493,0.122
Barack Obama,ja,0.539,0.521,0.071
Barack Obama,si,0.52,0.508,0.057
Barack Obama,bn,0.485,0.472,0.055
Barack Obama,hi,0.527,0.481,0.107
Barack Obama,ms,0.552,0.525,0.126
Barack Obama,he,0.54,0.512,0.103
Barack Obama,tr,0.643,0.679,0.131
George W. Bush,en,0.609,0.583,0.14
George W. Bush,pl,0.696,0.694,0.122
George W. Bush,it,0.733,0.774,0.163
George W. Bush,hu,0.632,0.616,0.131
George W. Bush,de,0.658,0.641,0.115
George W. Bush,nl,0.64,0.631,0.101
George W. Bush,el,0.638,0.611,0.081
George W. Bush,sv,0.637,0.611,0.139
George W. Bush,ko,0.521,0.501,0.087
George W. Bush,th,0.555,0.538,0.092
George W. Bush,tl,0.65,0.562,0.135
George W. Bush,ja,0.524,0.505,0.066
George W. Bush,si,0.583,0.583,0.0
George W. Bush,bn,0.493,0.491,0.035
George W. Bush,hi,0.54,0.54,0.037
George W. Bush,ms,0.625,0.637,0.173
