Article_Title,Language,Mean_Sentiment_Score,Median_Sentiment_Score,Standard_Deviation
Joe Biden,en,0.709,0.715,0.072
Joe Biden,pl,0.586,0.602,0.1
Joe Biden,it,0.631,0.64,0.088
Joe Biden,hu,0.644,0.645,0.078
Joe Biden,de,0.637,0.641,0.079
Joe Biden,nl,0.63,0.639,0.093
Joe Biden,el,0.692,0.701,0.075
Joe Biden,sv,0.638,0.642,0.08
Joe Biden,ko,0.666,0.666,0.076
Joe Biden,th,0.66,0.668,0.072
Joe Biden,tl,0.643,0.655,0.081
Joe Biden,ja,0.715,0.724,0.075
Joe Biden,si,0.738,0.738,0.0
Joe Biden,bn,0.638,0.641,0.062
Joe Biden,hi,0.541,0.542,0.094
Joe Biden,ms,0.657,0.662,0.076
Joe Biden,he,0.691,0.697,0.069
Joe Biden,tr,0.584,0.589,0.081
Donald Trump,en,0.694,0.696,0.063
Donald Trump,pl,0.563,0.563,0.08
Donald Trump,it,0.629,0.634,0.079
Donald Trump,hu,0.696,0.704,0.068
Donald Trump,de,0.63,0.632,0.066
Donald Trump,nl,0.62,0.623,0.074
Donald Trump,el,0.687,0.699,0.091
Donald Trump,sv,0.611,0.616,0.081
Donald Trump,ko,0.669,0.668,0.065
Donald Trump,th,0.637,0.639,0.067
Donald Trump,tl,0.613,0.6,0.079
Donald Trump,ja,0.704,0.708,0.071
Donald Trump,si,0.611,0.61,0.078
Donald Trump,bn,0.625,0.626,0.07
Donald Trump,hi,0.539,0.539,0.089
Donald Trump,ms,0.585,0.582,0.087
Donald Trump,he,0.669,0.673,0.072
Donald Trump,tr,0.534,0.534,0.079
Barack Obama,en,0.657,0.667,0.083
Barack Obama,pl,0.551,0.55,0.081
Barack Obama,it,0.621,0.631,0.084
Barack Obama,hu,0.646,0.657,0.087
Barack Obama,de,0.611,0.613,0.076
Barack Obama,nl,0.612,0.613,0.071
Barack Obama,el,0.733,0.738,0.067
Barack Obama,sv,0.596,0.601,0.08
Barack Obama,ko,0.665,0.665,0.082
Barack Obama,th,0.617,0.617,0.076
Barack Obama,tl,0.619,0.604,0.071
Barack Obama,ja,0.714,0.722,0.067
Barack Obama,si,0.649,0.647,0.069
Barack Obama,bn,0.602,0.606,0.077
Barack Obama,hi,0.611,0.613,0.051
Barack Obama,ms,0.598,0.612,0.088
Barack Obama,he,0.65,0.654,0.077
Barack Obama,tr,0.554,0.547,0.101
George W. Bush,en,0.694,0.7,0.07
George W. Bush,pl,0.602,0.607,0.079
George W. Bush,it,0.628,0.632,0.084
George W. Bush,hu,0.661,0.673,0.086
George W. Bush,de,0.625,0.629,0.078
George W. Bush,nl,0.597,0.603,0.081
George W. Bush,el,0.657,0.644,0.084
George W. Bush,sv,0.627,0.628,0.072
George W. Bush,ko,0.628,0.643,0.096
George W. Bush,th,0.618,0.623,0.08
George W. Bush,tl,0.648,0.598,0.084
George W. Bush,ja,0.749,0.759,0.064
George W. Bush,si,1.0,1.0,0.0
George W. Bush,bn,0.656,0.657,0.069
George W. Bush,hi,0.662,0.662,0.0
George W. Bush,ms,0.636,0.646,0.09
George W. Bush,he,0.684,0.687,0.068
George W. Bush,tr,0.556,0.564,0.102
Bill Clinton,en,0.683,0.687,0.067
Bill Clinton,pl,0.579,0.579,0.086
Bill Clinton,it,0.641,0.644,0.073
Bill Clinton,hu,0.676,0.678,0.07
Bill Clinton,de,0.622,0.626,0.073
Bill Clinton,nl,0.635,0.635,0.064
Bill Clinton,el,0.709,0.713,0.054
Bill Clinton,sv,0.649,0.657,0.065
Bill Clinton,ko,0.72,0.73,0.049
Bill Clinton,th,0.693,0.706,0.075
Bill Clinton,tl,0.682,0.671,0.015
Bill Clinton,ja,0.694,0.7,0.071
Bill Clinton,si,0.664,0.657,0.084
Bill Clinton,bn,0.621,0.678,0.177
Bill Clinton,hi,0.381,0.381,0.0
Bill Clinton,ms,0.679,0.675,0.055
Bill Clinton,he,0.685,0.696,0.086
Bill Clinton,tr,0.558,0.561,0.074
George H. W. Bush,en,0.692,0.698,0.071
George H. W. Bush,pl,0.576,0.575,0.086
George H. W. Bush,it,0.636,0.641,0.082
George H. W. Bush,hu,0.664,0.659,0.078
George H. W. Bush,de,0.609,0.61,0.083
George H. W. Bush,nl,0.62,0.621,0.081
George H. W. Bush,el,0.692,0.694,0.078
George H. W. Bush,sv,0.618,0.625,0.091
George H. W. Bush,ko,0.696,0.691,0.071
George H. W. Bush,th,0.645,0.666,0.06
George H. W. Bush,tl,1.0,1.0,0.0
George H. W. Bush,ja,0.716,0.716,0.064
George H. W. Bush,si,0.79,0.79,0.0
George H. W. Bush,bn,0.628,0.625,0.071
George H. W. Bush,hi,0.615,0.615,0.0
George H. W. Bush,ms,0.577,0.582,0.073
George H. W. Bush,he,0.682,0.684,0.067
George H. W. Bush,tr,0.574,0.579,0.087
Ronald Reagan,en,0.706,0.713,0.065
Ronald Reagan,pl,0.602,0.6,0.076
Ronald Reagan,it,0.625,0.63,0.08
Ronald Reagan,hu,0.655,0.664,0.08
Ronald Reagan,de,0.618,0.619,0.076
Ronald Reagan,nl,0.597,0.602,0.077
Ronald Reagan,el,0.646,0.639,0.089
Ronald Reagan,sv,0.611,0.622,0.089
Ronald Reagan,ko,0.705,0.71,0.053
Ronald Reagan,th,0.625,0.626,0.047
Ronald Reagan,tl,0.682,0.671,0.015
Ronald Reagan,ja,0.705,0.709,0.065
Ronald Reagan,si,0.575,0.578,0.077
Ronald Reagan,bn,0.673,0.652,0.063
Ronald Reagan,hi,1.0,1.0,0.0
Ronald Reagan,ms,0.645,0.646,0.076
Ronald Reagan,he,0.664,0.667,0.072
Ronald Reagan,tr,0.569,0.575,0.088
Jimmy Carter,en,0.704,0.709,0.071
Jimmy Carter,pl,0.585,0.585,0.086
Jimmy Carter,it,0.649,0.65,0.07
Jimmy Carter,hu,0.666,0.669,0.074
Jimmy Carter,de,0.613,0.613,0.075
Jimmy Carter,nl,0.608,0.612,0.097
Jimmy Carter,el,0.657,0.671,0.094
Jimmy Carter,sv,0.648,0.652,0.088
Jimmy Carter,ko,0.717,0.72,0.075
Jimmy Carter,th,0.667,0.66,0.077
Jimmy Carter,tl,0.682,0.671,0.015
Jimmy Carter,ja,0.724,0.726,0.06
Jimmy Carter,si,,,
Jimmy Carter,bn,0.623,0.623,0.0
Jimmy Carter,hi,0.557,0.562,0.086
Jimmy Carter,ms,0.654,0.648,0.08
Jimmy Carter,he,0.69,0.692,0.066
Jimmy Carter,tr,0.571,0.58,0.085
Gerald Ford,en,0.675,0.677,0.075
Gerald Ford,pl,0.591,0.589,0.085
Gerald Ford,it,0.663,0.679,0.098
Gerald Ford,hu,0.673,0.693,0.111
Gerald Ford,de,0.634,0.636,0.086
Gerald Ford,nl,0.679,0.673,0.064
Gerald Ford,el,0.733,0.742,0.074
Gerald Ford,sv,0.659,0.655,0.063
Gerald Ford,ko,0.674,0.697,0.109
Gerald Ford,th,0.607,0.62,0.113
Gerald Ford,tl,0.682,0.671,0.015
Gerald Ford,ja,0.732,0.732,0.056
Gerald Ford,si,1.0,1.0,0.0
Gerald Ford,bn,0.591,0.591,0.0
Gerald Ford,hi,1.0,1.0,0.0
Gerald Ford,ms,0.587,0.573,0.102
Gerald Ford,he,0.697,0.706,0.075
Gerald Ford,tr,0.638,0.642,0.084
Richard Nixon,en,0.717,0.723,0.064
Richard Nixon,pl,0.61,0.609,0.072
Richard Nixon,it,0.663,0.666,0.071
Richard Nixon,hu,0.645,0.633,0.08
Richard Nixon,de,0.648,0.654,0.078
Richard Nixon,nl,0.623,0.631,0.089
Richard Nixon,el,0.65,0.673,0.1
Richard Nixon,sv,0.677,0.676,0.068
